time,station name,number of departures,departure number 1,description departure number 1,departure number 2,description departure number 2,departure number 3,description departure number 3,departure number 4,description departure number 4,departure number 5,description departure number 5,departure number 6,description departure number 6,departure number 7,description departure number 7,departure number 8,description departure number 8,number of arrivals,arrival number 1,description arrival number 1,arrival number 2,description arrival number 2,arrival number 3,description arrival number 3,arrival number 4,description arrival number 4,arrival number 5,description arrival number 5,arrival number 6,description arrival number 6,arrival number 7,description arrival number 7,arrival number 8,description arrival number 8,number of perturbations,perturbation number 1,perturbation number 2,perturbation number 3,perturbation number 4
201905021543,Place de Catalogne,0,,,,,,,,,,,,,,,,,2,201905021546,2 mn,201905021546,3 mn,,,,,,,,,,,,,0,,,,
201905021543,Valenciennes,2,201905021606,22 mn,201905021618,34 mn,,,,,,,,,,,,,2,201905021552,8 mn,201905021601,17 mn,,,,,,,,,,,,,0,,,,
201905021543,Gare de l'Est,2,201905021603,20 mn,201905021615,31 mn,,,,,,,,,,,,,2,201905021544,1 mn,201905021554,11 mn,,,,,,,,,,,,,0,,,,
201905021543,Magenta-Saint-Martin,0,,,,,,,,,,,,,,,,,2,201905021546,2 mn,201905021556,12 mn,,,,,,,,,,,,,0,,,,
201905021543,Jacques Bonsergent,2,201905021558,15 mn,201905021610,27 mn,,,,,,,,,,,,,2,201905021549,5 mn,201905021559,15 mn,,,,,,,,,,,,,0,,,,
201905021543,Republique-Magenta,0,,,,,,,,,,,,,,,,,2,201905021550,7 mn,201905021601,17 mn,,,,,,,,,,,,,0,,,,
201905021543,Republique,2,201905021555,12 mn,201905021608,25 mn,,,,,,,,,,,,,2,201905021543,A l'arret,201905021552,9 mn,,,,,,,,,,,,,0,,,,
201905021543,Jean-Pierre Timbaud,2,201905021553,10 mn,201905021606,22 mn,,,,,,,,,,,,,2,201905021544,0 mn,201905021544,1 mn,,,,,,,,,,,,,0,,,,
201905021543,Oberkampf-Filles du Calvaire,2,201905021551,7 mn,201905021604,20 mn,,,,,,,,,,,,,2,201905021546,2 mn,201905021546,3 mn,,,,,,,,,,,,,0,,,,
201905021543,Saint-Claude,2,201905021549,6 mn,201905021602,19 mn,,,,,,,,,,,,,2,201905021547,4 mn,201905021547,4 mn,,,,,,,,,,,,,0,,,,
201905021543,Saint-Gilles-Chemin Vert,2,201905021547,4 mn,201905021601,17 mn,,,,,,,,,,,,,2,201905021543,A l'arret,201905021544,0 mn,,,,,,,,,,,,,0,,,,
201905021543,Bastille-Beaumarchais,2,201905021545,1 mn,201905021558,15 mn,,,,,,,,,,,,,2,,ARRET NON DESSERVI,,ARRET NON DESSERVI,,,,,,,,,,,,,0,,,,
201905021543,Bastille,2,,ARRET REPORTE,,ARRET REPORTE,,,,,,,,,,,,,2,201905021546,2 mn,201905021546,3 mn,,,,,,,,,,,,,0,,,,
201905021543,Lyon-Ledru Rollin,2,201905021553,10 mn,201905021553,10 mn,,,,,,,,,,,,,2,201905021548,4 mn,201905021549,5 mn,,,,,,,,,,,,,0,,,,
201905021543,Gare de Lyon-Diderot,2,201905021550,7 mn,201905021550,7 mn,,,,,,,,,,,,,2,201905021551,8 mn,201905021553,9 mn,,,,,,,,,,,,,0,,,,
201905021543,Quai de la Rapee,2,201905021548,5 mn,201905021550,6 mn,,,,,,,,,,,,,2,201905021553,9 mn,201905021554,11 mn,,,,,,,,,,,,,0,,,,
201905021543,Gare d'Austerlitz,2,201905021543,A l'arret,201905021547,4 mn,,,,,,,,,,,,,2,201905021556,12 mn,201905021557,14 mn,,,,,,,,,,,,,0,,,,
201905021543,Saint-Marcel-La Pitie,2,201905021545,1 mn,201905021554,11 mn,,,,,,,,,,,,,2,201905021544,1 mn,201905021559,16 mn,,,,,,,,,,,,,0,,,,
201905021543,Saint-Marcel-Jeanne d'Arc,2,201905021543,A l'arret,201905021552,9 mn,,,,,,,,,,,,,2,201905021547,3 mn,201905021602,18 mn,,,,,,,,,,,,,0,,,,
201905021543,Les Gobelins,2,201905021550,7 mn,201905021556,12 mn,,,,,,,,,,,,,2,201905021544,1 mn,201905021549,5 mn,,,,,,,,,,,,,0,,,,
201905021543,Port Royal-Berthollet,2,201905021547,3 mn,201905021553,9 mn,,,,,,,,,,,,,2,201905021546,3 mn,201905021551,8 mn,,,,,,,,,,,,,0,,,,
201905021543,Port Royal-Saint Jacques,2,201905021544,1 mn,201905021550,7 mn,,,,,,,,,,,,,2,201905021549,6 mn,201905021554,11 mn,,,,,,,,,,,,,0,,,,
201905021543,Observatoire-Port Royal,2,201905021543,A l'arret,201905021549,5 mn,,,,,,,,,,,,,2,201905021543,A l'arret,201905021550,7 mn,,,,,,,,,,,,,0,,,,
201905021543,Campagne Premiere,2,201905021547,4 mn,201905021555,12 mn,,,,,,,,,,,,,2,201905021544,1 mn,201905021552,8 mn,,,,,,,,,,,,,0,,,,
201905021543,Vavin,2,201905021545,2 mn,201905021553,10 mn,,,,,,,,,,,,,2,201905021546,3 mn,201905021553,10 mn,,,,,,,,,,,,,0,,,,
201905021543,Montparnasse-Cinemas,0,,,,,,,,,,,,,,,,,2,201905021547,4 mn,201905021555,12 mn,,,,,,,,,,,,,0,,,,
201905021543,Montparnasse-Rue du Depart,0,,,,,,,,,,,,,,,,,2,201905021550,6 mn,201905021557,13 mn,,,,,,,,,,,,,0,,,,
201905021543,Gare Montparnasse,2,201905021546,3 mn,201905021552,8 mn,,,,,,,,,,,,,2,201905021543,0 mn,201905021543,0 mn,,,,,,,,,,,,,0,,,,
201905021543,Gare du Nord,0,,,,,,,,,,,,,,,,,2,201905021549,5 mn,201905021558,14 mn,,,,,,,,,,,,,0,,,,
201905021543,Montparnasse,2,201905021543,A l'arret,201905021551,7 mn,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,0,,,,
201905021543,Montparnasse 2-Gare Tgv,2,201905021548,4 mn,201905021555,11 mn,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,0,,,,
201905021543,Strasbourg-Magenta,2,201905021601,17 mn,201905021613,29 mn,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,0,,,,
201905021543,Armorique-Musee Postal,2,201905021544,1 mn,201905021550,6 mn,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,0,,,,
201905021543,Place de Catalogne,0,,,,,,,,,,,,,,,,,2,201905021546,2 mn,201905021546,3 mn,,,,,,,,,,,,,0,,,,
201905021543,Valenciennes,2,201905021606,22 mn,201905021618,34 mn,,,,,,,,,,,,,2,201905021552,8 mn,201905021601,17 mn,,,,,,,,,,,,,0,,,,
201905021543,Gare de l'Est,2,201905021603,19 mn,201905021615,31 mn,,,,,,,,,,,,,2,201905021544,1 mn,201905021554,11 mn,,,,,,,,,,,,,0,,,,
201905021543,Magenta-Saint-Martin,0,,,,,,,,,,,,,,,,,2,201905021546,2 mn,201905021556,12 mn,,,,,,,,,,,,,0,,,,
201905021543,Jacques Bonsergent,2,201905021558,14 mn,201905021610,27 mn,,,,,,,,,,,,,2,201905021549,5 mn,201905021559,15 mn,,,,,,,,,,,,,0,,,,
201905021543,Republique-Magenta,0,,,,,,,,,,,,,,,,,2,201905021550,7 mn,201905021601,17 mn,,,,,,,,,,,,,0,,,,
201905021543,Republique,2,201905021555,12 mn,201905021608,24 mn,,,,,,,,,,,,,2,201905021552,8 mn,201905021602,19 mn,,,,,,,,,,,,,0,,,,
201905021543,Jean-Pierre Timbaud,2,201905021553,9 mn,201905021606,22 mn,,,,,,,,,,,,,2,201905021544,0 mn,201905021544,0 mn,,,,,,,,,,,,,0,,,,
201905021543,Oberkampf-Filles du Calvaire,2,201905021551,7 mn,201905021604,20 mn,,,,,,,,,,,,,2,201905021546,2 mn,201905021546,2 mn,,,,,,,,,,,,,0,,,,
201905021543,Saint-Claude,2,201905021549,5 mn,201905021602,18 mn,,,,,,,,,,,,,2,201905021547,3 mn,201905021547,4 mn,,,,,,,,,,,,,0,,,,
201905021543,Saint-Gilles-Chemin Vert,2,201905021547,3 mn,201905021601,17 mn,,,,,,,,,,,,,2,201905021543,A l'arret,201905021544,0 mn,,,,,,,,,,,,,0,,,,
201905021543,Bastille-Beaumarchais,2,201905021545,1 mn,201905021558,15 mn,,,,,,,,,,,,,2,,ARRET NON DESSERVI,,ARRET NON DESSERVI,,,,,,,,,,,,,0,,,,
201905021543,Bastille,2,,ARRET REPORTE,,ARRET REPORTE,,,,,,,,,,,,,2,201905021546,2 mn,201905021546,2 mn,,,,,,,,,,,,,0,,,,
201905021543,Lyon-Ledru Rollin,2,201905021553,10 mn,201905021553,10 mn,,,,,,,,,,,,,2,201905021548,4 mn,201905021549,5 mn,,,,,,,,,,,,,0,,,,
201905021543,Gare de Lyon-Diderot,2,201905021550,6 mn,201905021550,6 mn,,,,,,,,,,,,,2,201905021551,8 mn,201905021553,9 mn,,,,,,,,,,,,,0,,,,
201905021543,Quai de la Rapee,2,201905021548,5 mn,201905021550,6 mn,,,,,,,,,,,,,2,201905021553,9 mn,201905021554,10 mn,,,,,,,,,,,,,0,,,,
201905021543,Gare d'Austerlitz,2,201905021543,A l'arret,201905021547,3 mn,,,,,,,,,,,,,2,201905021556,12 mn,201905021557,14 mn,,,,,,,,,,,,,0,,,,
201905021543,Saint-Marcel-La Pitie,2,201905021545,1 mn,201905021554,11 mn,,,,,,,,,,,,,2,201905021544,1 mn,201905021559,15 mn,,,,,,,,,,,,,0,,,,
201905021543,Saint-Marcel-Jeanne d'Arc,2,201905021552,8 mn,201905021558,14 mn,,,,,,,,,,,,,2,201905021547,3 mn,201905021602,18 mn,,,,,,,,,,,,,0,,,,
201905021543,Les Gobelins,2,201905021550,6 mn,201905021556,12 mn,,,,,,,,,,,,,2,201905021544,0 mn,201905021549,5 mn,,,,,,,,,,,,,0,,,,
201905021543,Port Royal-Berthollet,2,201905021547,3 mn,201905021553,9 mn,,,,,,,,,,,,,2,201905021546,2 mn,201905021551,7 mn,,,,,,,,,,,,,0,,,,
201905021543,Port Royal-Saint Jacques,2,201905021544,0 mn,201905021550,6 mn,,,,,,,,,,,,,2,201905021549,5 mn,201905021554,10 mn,,,,,,,,,,,,,0,,,,
201905021543,Observatoire-Port Royal,2,201905021543,A l'arret,201905021549,5 mn,,,,,,,,,,,,,2,201905021543,A l'arret,201905021550,6 mn,,,,,,,,,,,,,0,,,,
201905021543,Campagne Premiere,2,201905021547,4 mn,201905021555,12 mn,,,,,,,,,,,,,2,201905021544,0 mn,201905021552,8 mn,,,,,,,,,,,,,0,,,,
201905021543,Vavin,2,201905021545,1 mn,201905021553,9 mn,,,,,,,,,,,,,2,201905021546,2 mn,201905021553,10 mn,,,,,,,,,,,,,0,,,,
201905021543,Montparnasse-Cinemas,0,,,,,,,,,,,,,,,,,2,201905021547,4 mn,201905021555,11 mn,,,,,,,,,,,,,0,,,,
201905021543,Montparnasse-Rue du Depart,0,,,,,,,,,,,,,,,,,2,201905021550,6 mn,201905021557,13 mn,,,,,,,,,,,,,0,,,,
201905021543,Gare Montparnasse,2,201905021546,3 mn,201905021552,8 mn,,,,,,,,,,,,,2,201905021543,0 mn,201905021543,0 mn,,,,,,,,,,,,,0,,,,
201905021543,Gare du Nord,0,,,,,,,,,,,,,,,,,2,201905021549,5 mn,201905021558,14 mn,,,,,,,,,,,,,0,,,,
201905021543,Montparnasse,2,201905021543,A l'arret,201905021551,7 mn,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,0,,,,
201905021543,Montparnasse 2-Gare Tgv,2,201905021548,4 mn,201905021555,11 mn,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,0,,,,
201905021543,Strasbourg-Magenta,2,201905021601,17 mn,201905021613,29 mn,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,0,,,,
201905021543,Armorique-Musee Postal,2,201905021544,0 mn,201905021550,6 mn,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,0,,,,
201905021544,Place de Catalogne,0,,,,,,,,,,,,,,,,,2,201905021545,1 mn,201905021546,2 mn,,,,,,,,,,,,,0,,,,
201905021544,Valenciennes,2,201905021606,22 mn,201905021618,34 mn,,,,,,,,,,,,,2,201905021552,7 mn,201905021601,16 mn,,,,,,,,,,,,,0,,,,
201905021544,Gare de l'Est,2,201905021604,19 mn,201905021616,31 mn,,,,,,,,,,,,,2,201905021544,0 mn,201905021554,10 mn,,,,,,,,,,,,,0,,,,
201905021544,Magenta-Saint-Martin,0,,,,,,,,,,,,,,,,,2,201905021545,1 mn,201905021556,11 mn,,,,,,,,,,,,,0,,,,
201905021544,Jacques Bonsergent,2,201905021559,14 mn,201905021611,27 mn,,,,,,,,,,,,,2,201905021548,4 mn,201905021559,14 mn,,,,,,,,,,,,,0,,,,
201905021544,Republique-Magenta,0,,,,,,,,,,,,,,,,,2,201905021550,5 mn,201905021601,16 mn,,,,,,,,,,,,,0,,,,
201905021544,Republique,2,201905021556,12 mn,201905021609,24 mn,,,,,,,,,,,,,2,201905021552,7 mn,201905021602,18 mn,,,,,,,,,,,,,0,,,,
201905021544,Jean-Pierre Timbaud,2,201905021554,9 mn,201905021607,22 mn,,,,,,,,,,,,,2,201905021545,0 mn,201905021545,0 mn,,,,,,,,,,,,,0,,,,
201905021544,Oberkampf-Filles du Calvaire,2,201905021551,7 mn,201905021605,20 mn,,,,,,,,,,,,,2,201905021546,2 mn,201905021546,2 mn,,,,,,,,,,,,,0,,,,
201905021544,Saint-Claude,2,201905021550,5 mn,201905021603,19 mn,,,,,,,,,,,,,2,201905021548,3 mn,201905021548,4 mn,,,,,,,,,,,,,0,,,,
201905021544,Saint-Gilles-Chemin Vert,2,201905021548,3 mn,201905021601,17 mn,,,,,,,,,,,,,2,201905021544,A l'arret,201905021545,0 mn,,,,,,,,,,,,,0,,,,
201905021544,Bastille-Beaumarchais,2,201905021546,1 mn,201905021559,15 mn,,,,,,,,,,,,,2,,ARRET NON DESSERVI,,ARRET NON DESSERVI,,,,,,,,,,,,,0,,,,
201905021544,Bastille,2,,ARRET REPORTE,,ARRET REPORTE,,,,,,,,,,,,,2,201905021547,2 mn,201905021547,3 mn,,,,,,,,,,,,,0,,,,
201905021544,Lyon-Ledru Rollin,2,201905021554,9 mn,201905021554,10 mn,,,,,,,,,,,,,2,201905021549,4 mn,201905021550,5 mn,,,,,,,,,,,,,0,,,,
201905021544,Gare de Lyon-Diderot,2,201905021551,6 mn,201905021551,7 mn,,,,,,,,,,,,,2,201905021552,8 mn,201905021554,9 mn,,,,,,,,,,,,,0,,,,
201905021544,Quai de la Rapee,2,201905021549,4 mn,201905021550,5 mn,,,,,,,,,,,,,2,201905021554,9 mn,201905021555,11 mn,,,,,,,,,,,,,0,,,,
201905021544,Gare d'Austerlitz,2,201905021548,3 mn,201905021557,13 mn,,,,,,,,,,,,,2,201905021557,12 mn,201905021558,14 mn,,,,,,,,,,,,,0,,,,
201905021544,Saint-Marcel-La Pitie,2,201905021545,1 mn,201905021555,10 mn,,,,,,,,,,,,,2,201905021545,0 mn,201905021600,16 mn,,,,,,,,,,,,,0,,,,
201905021544,Saint-Marcel-Jeanne d'Arc,2,201905021552,8 mn,201905021558,14 mn,,,,,,,,,,,,,2,201905021547,3 mn,201905021603,18 mn,,,,,,,,,,,,,0,,,,
201905021544,Les Gobelins,2,201905021550,6 mn,201905021556,12 mn,,,,,,,,,,,,,2,201905021544,0 mn,201905021549,5 mn,,,,,,,,,,,,,0,,,,
201905021544,Port Royal-Berthollet,2,201905021547,3 mn,201905021553,9 mn,,,,,,,,,,,,,2,201905021547,2 mn,201905021552,7 mn,,,,,,,,,,,,,0,,,,
201905021544,Port Royal-Saint Jacques,2,201905021544,0 mn,201905021550,6 mn,,,,,,,,,,,,,2,201905021549,5 mn,201905021554,10 mn,,,,,,,,,,,,,0,,,,
201905021544,Observatoire-Port Royal,2,201905021549,5 mn,201905021556,12 mn,,,,,,,,,,,,,2,201905021544,A l'arret,201905021550,6 mn,,,,,,,,,,,,,0,,,,
201905021544,Campagne Premiere,2,201905021548,3 mn,201905021555,10 mn,,,,,,,,,,,,,2,201905021545,1 mn,201905021552,8 mn,,,,,,,,,,,,,0,,,,
201905021544,Vavin,2,201905021545,1 mn,201905021552,8 mn,,,,,,,,,,,,,2,201905021547,2 mn,201905021554,9 mn,,,,,,,,,,,,,0,,,,
201905021544,Montparnasse-Cinemas,0,,,,,,,,,,,,,,,,,2,201905021548,4 mn,201905021555,11 mn,,,,,,,,,,,,,0,,,,
201905021544,Montparnasse-Rue du Depart,0,,,,,,,,,,,,,,,,,2,201905021550,6 mn,201905021557,13 mn,,,,,,,,,,,,,0,,,,
201905021544,Gare Montparnasse,2,201905021546,1 mn,201905021552,7 mn,,,,,,,,,,,,,2,201905021544,A l'arret,201905021552,7 mn,,,,,,,,,,,,,0,,,,
201905021544,Gare du Nord,0,,,,,,,,,,,,,,,,,2,201905021549,4 mn,201905021558,13 mn,,,,,,,,,,,,,0,,,,
201905021544,Montparnasse,2,201905021550,6 mn,201905021556,12 mn,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,0,,,,
201905021544,Montparnasse 2-Gare Tgv,2,201905021548,3 mn,201905021555,10 mn,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,0,,,,
201905021544,Strasbourg-Magenta,2,201905021601,17 mn,201905021613,29 mn,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,0,,,,
201905021544,Armorique-Musee Postal,2,201905021550,5 mn,201905021557,12 mn,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,0,,,,
201905021544,Place de Catalogne,0,,,,,,,,,,,,,,,,,2,201905021545,1 mn,201905021546,2 mn,,,,,,,,,,,,,0,,,,
201905021544,Valenciennes,2,201905021606,22 mn,201905021618,34 mn,,,,,,,,,,,,,2,201905021552,7 mn,201905021601,16 mn,,,,,,,,,,,,,0,,,,
201905021544,Gare de l'Est,2,201905021604,19 mn,201905021616,31 mn,,,,,,,,,,,,,2,201905021544,0 mn,201905021554,10 mn,,,,,,,,,,,,,0,,,,
201905021544,Magenta-Saint-Martin,0,,,,,,,,,,,,,,,,,2,201905021545,1 mn,201905021556,11 mn,,,,,,,,,,,,,0,,,,
201905021544,Jacques Bonsergent,2,201905021559,14 mn,201905021611,27 mn,,,,,,,,,,,,,2,201905021548,3 mn,201905021559,14 mn,,,,,,,,,,,,,0,,,,
201905021544,Republique-Magenta,0,,,,,,,,,,,,,,,,,2,201905021550,5 mn,201905021601,16 mn,,,,,,,,,,,,,0,,,,
201905021544,Republique,2,201905021556,11 mn,201905021609,24 mn,,,,,,,,,,,,,2,201905021552,7 mn,201905021602,18 mn,,,,,,,,,,,,,0,,,,
201905021544,Jean-Pierre Timbaud,2,201905021554,9 mn,201905021607,22 mn,,,,,,,,,,,,,2,201905021545,0 mn,201905021545,0 mn,,,,,,,,,,,,,0,,,,
201905021544,Oberkampf-Filles du Calvaire,2,201905021551,7 mn,201905021605,20 mn,,,,,,,,,,,,,2,201905021546,2 mn,201905021546,2 mn,,,,,,,,,,,,,0,,,,
201905021544,Saint-Claude,2,201905021550,5 mn,201905021603,18 mn,,,,,,,,,,,,,2,201905021548,3 mn,201905021548,3 mn,,,,,,,,,,,,,0,,,,
201905021544,Saint-Gilles-Chemin Vert,2,201905021548,3 mn,201905021601,17 mn,,,,,,,,,,,,,2,201905021544,A l'arret,201905021545,0 mn,,,,,,,,,,,,,0,,,,
201905021544,Bastille-Beaumarchais,2,201905021546,1 mn,201905021559,15 mn,,,,,,,,,,,,,2,,ARRET NON DESSERVI,,ARRET NON DESSERVI,,,,,,,,,,,,,0,,,,
201905021544,Bastille,2,,ARRET REPORTE,,ARRET REPORTE,,,,,,,,,,,,,2,201905021547,2 mn,201905021547,2 mn,,,,,,,,,,,,,0,,,,
201905021544,Lyon-Ledru Rollin,2,201905021554,9 mn,201905021554,9 mn,,,,,,,,,,,,,2,201905021549,4 mn,201905021550,5 mn,,,,,,,,,,,,,0,,,,
201905021544,Gare de Lyon-Diderot,2,201905021551,6 mn,201905021551,6 mn,,,,,,,,,,,,,2,201905021552,7 mn,201905021554,9 mn,,,,,,,,,,,,,0,,,,
201905021544,Quai de la Rapee,2,201905021549,4 mn,201905021550,5 mn,,,,,,,,,,,,,2,201905021554,9 mn,201905021555,10 mn,,,,,,,,,,,,,0,,,,
201905021544,Gare d'Austerlitz,2,201905021548,3 mn,201905021557,12 mn,,,,,,,,,,,,,2,201905021557,12 mn,201905021558,13 mn,,,,,,,,,,,,,0,,,,
201905021544,Saint-Marcel-La Pitie,2,201905021545,1 mn,201905021555,10 mn,,,,,,,,,,,,,2,201905021545,0 mn,201905021600,15 mn,,,,,,,,,,,,,0,,,,
201905021544,Saint-Marcel-Jeanne d'Arc,2,201905021552,8 mn,201905021558,13 mn,,,,,,,,,,,,,2,201905021547,2 mn,201905021603,18 mn,,,,,,,,,,,,,0,,,,
201905021544,Les Gobelins,2,201905021550,6 mn,201905021556,12 mn,,,,,,,,,,,,,2,201905021544,0 mn,201905021549,4 mn,,,,,,,,,,,,,0,,,,
201905021544,Port Royal-Berthollet,2,201905021547,2 mn,201905021553,8 mn,,,,,,,,,,,,,2,201905021547,2 mn,201905021552,7 mn,,,,,,,,,,,,,0,,,,
201905021544,Port Royal-Saint Jacques,2,201905021544,0 mn,201905021550,6 mn,,,,,,,,,,,,,2,201905021549,5 mn,201905021554,10 mn,,,,,,,,,,,,,0,,,,
201905021544,Observatoire-Port Royal,2,201905021549,4 mn,201905021556,11 mn,,,,,,,,,,,,,2,201905021544,A l'arret,201905021550,6 mn,,,,,,,,,,,,,0,,,,
201905021544,Campagne Premiere,2,201905021548,3 mn,201905021555,10 mn,,,,,,,,,,,,,2,201905021545,0 mn,201905021552,7 mn,,,,,,,,,,,,,0,,,,
201905021544,Vavin,2,201905021545,0 mn,201905021552,7 mn,,,,,,,,,,,,,2,201905021547,2 mn,201905021554,9 mn,,,,,,,,,,,,,0,,,,
201905021544,Montparnasse-Cinemas,0,,,,,,,,,,,,,,,,,2,201905021548,3 mn,201905021555,10 mn,,,,,,,,,,,,,0,,,,
201905021544,Montparnasse-Rue du Depart,0,,,,,,,,,,,,,,,,,2,201905021550,6 mn,201905021557,12 mn,,,,,,,,,,,,,0,,,,
201905021544,Gare Montparnasse,2,201905021546,1 mn,201905021552,7 mn,,,,,,,,,,,,,2,201905021544,A l'arret,201905021552,7 mn,,,,,,,,,,,,,0,,,,
201905021544,Gare du Nord,0,,,,,,,,,,,,,,,,,2,201905021549,4 mn,201905021558,13 mn,,,,,,,,,,,,,0,,,,
201905021544,Montparnasse,2,201905021550,5 mn,201905021556,11 mn,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,0,,,,
201905021544,Montparnasse 2-Gare Tgv,2,201905021548,3 mn,201905021555,10 mn,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,0,,,,
201905021544,Strasbourg-Magenta,2,201905021601,17 mn,201905021613,29 mn,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,0,,,,
201905021544,Armorique-Musee Postal,2,201905021550,5 mn,201905021557,12 mn,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,0,,,,
201905021545,Place de Catalogne,0,,,,,,,,,,,,,,,,,2,201905021546,0 mn,201905021547,2 mn,,,,,,,,,,,,,0,,,,
201905021545,Valenciennes,2,201905021607,22 mn,201905021619,33 mn,,,,,,,,,,,,,2,201905021552,6 mn,201905021601,15 mn,,,,,,,,,,,,,0,,,,
201905021545,Gare de l'Est,2,201905021605,19 mn,201905021616,31 mn,,,,,,,,,,,,,2,201905021554,9 mn,201905021603,18 mn,,,,,,,,,,,,,0,,,,
201905021545,Magenta-Saint-Martin,0,,,,,,,,,,,,,,,,,2,201905021545,0 mn,201905021556,10 mn,,,,,,,,,,,,,0,,,,
201905021545,Jacques Bonsergent,2,201905021600,14 mn,201905021612,26 mn,,,,,,,,,,,,,2,201905021548,3 mn,201905021559,13 mn,,,,,,,,,,,,,0,,,,
201905021545,Republique-Magenta,0,,,,,,,,,,,,,,,,,2,201905021550,5 mn,201905021601,15 mn,,,,,,,,,,,,,0,,,,
201905021545,Republique,2,201905021557,11 mn,201905021609,24 mn,,,,,,,,,,,,,2,201905021552,6 mn,201905021602,17 mn,,,,,,,,,,,,,0,,,,
201905021545,Jean-Pierre Timbaud,2,201905021554,9 mn,201905021607,22 mn,,,,,,,,,,,,,2,201905021545,0 mn,201905021546,0 mn,,,,,,,,,,,,,0,,,,
201905021545,Oberkampf-Filles du Calvaire,2,201905021552,7 mn,201905021605,20 mn,,,,,,,,,,,,,2,201905021547,1 mn,201905021547,2 mn,,,,,,,,,,,,,0,,,,
201905021545,Saint-Claude,2,201905021551,5 mn,201905021604,18 mn,,,,,,,,,,,,,2,201905021548,3 mn,201905021549,3 mn,,,,,,,,,,,,,0,,,,
201905021545,Saint-Gilles-Chemin Vert,2,201905021549,3 mn,201905021602,16 mn,,,,,,,,,,,,,2,201905021545,A l'arret,201905021545,0 mn,,,,,,,,,,,,,0,,,,
201905021545,Bastille-Beaumarchais,2,201905021546,1 mn,201905021600,14 mn,,,,,,,,,,,,,2,,ARRET NON DESSERVI,,ARRET NON DESSERVI,,,,,,,,,,,,,0,,,,
201905021545,Bastille,2,,ARRET REPORTE,,ARRET REPORTE,,,,,,,,,,,,,2,201905021547,2 mn,201905021548,3 mn,,,,,,,,,,,,,0,,,,
201905021545,Lyon-Ledru Rollin,2,201905021552,7 mn,201905021555,9 mn,,,,,,,,,,,,,2,201905021549,4 mn,201905021550,5 mn,,,,,,,,,,,,,0,,,,
201905021545,Gare de Lyon-Diderot,2,201905021549,4 mn,201905021551,6 mn,,,,,,,,,,,,,2,201905021553,8 mn,201905021554,9 mn,,,,,,,,,,,,,0,,,,
201905021545,Quai de la Rapee,2,201905021547,2 mn,201905021550,4 mn,,,,,,,,,,,,,2,201905021554,9 mn,201905021556,10 mn,,,,,,,,,,,,,0,,,,
201905021545,Gare d'Austerlitz,2,201905021548,2 mn,201905021557,12 mn,,,,,,,,,,,,,2,201905021558,12 mn,201905021559,14 mn,,,,,,,,,,,,,0,,,,
201905021545,Saint-Marcel-La Pitie,2,201905021545,0 mn,201905021555,10 mn,,,,,,,,,,,,,2,201905021545,A l'arret,201905021601,15 mn,,,,,,,,,,,,,0,,,,
201905021545,Saint-Marcel-Jeanne d'Arc,2,201905021552,7 mn,201905021559,13 mn,,,,,,,,,,,,,2,201905021547,1 mn,201905021604,18 mn,,,,,,,,,,,,,0,,,,
201905021545,Les Gobelins,2,201905021551,5 mn,201905021557,11 mn,,,,,,,,,,,,,2,201905021549,3 mn,201905021606,20 mn,,,,,,,,,,,,,0,,,,
201905021545,Port Royal-Berthollet,2,201905021547,2 mn,201905021554,8 mn,,,,,,,,,,,,,2,201905021546,0 mn,201905021551,6 mn,,,,,,,,,,,,,0,,,,
201905021545,Port Royal-Saint Jacques,2,201905021545,A l'arret,201905021551,5 mn,,,,,,,,,,,,,2,201905021549,3 mn,201905021554,9 mn,,,,,,,,,,,,,0,,,,
201905021545,Observatoire-Port Royal,2,201905021550,4 mn,201905021556,11 mn,,,,,,,,,,,,,2,201905021545,A l'arret,201905021550,4 mn,,,,,,,,,,,,,0,,,,
201905021545,Campagne Premiere,2,201905021548,3 mn,201905021555,10 mn,,,,,,,,,,,,,2,201905021545,0 mn,201905021551,6 mn,,,,,,,,,,,,,0,,,,
201905021545,Vavin,2,201905021546,0 mn,201905021553,7 mn,,,,,,,,,,,,,2,201905021547,2 mn,201905021553,8 mn,,,,,,,,,,,,,0,,,,
201905021545,Montparnasse-Cinemas,0,,,,,,,,,,,,,,,,,2,201905021549,3 mn,201905021554,9 mn,,,,,,,,,,,,,0,,,,
